~~~~~~~STARTING~~~~~~~~
Lambda = 50.00, Ts = 0.020, SimTime = 100.00

wAvg = 3, qAvg = 3
Arrival      Tw      Start       End        Tq
48.915     0.095    49.009     49.016     0.101
48.958     0.094    49.053     49.062     0.104
48.993     0.069    49.062     49.069     0.076
49.050     0.040    49.090     49.094     0.044
49.077     0.018    49.094     49.108     0.032
49.090     0.019    49.109     49.117     0.028
49.109     0.009    49.117     49.121     0.012
49.122     0.013    49.135     49.143     0.021
49.135     0.037    49.171     49.177     0.042
49.143     0.113    49.256     49.259     0.116
49.146     0.113    49.259     49.267     0.121
49.181     0.086    49.267     49.294     0.113
49.303     0.013    49.316     49.320     0.017
49.316     0.012    49.328     49.329     0.013
49.321     0.009    49.329     49.337     0.016
49.325     0.049    49.374     49.377     0.052
49.341     0.036    49.377     49.389     0.048
49.361     0.038    49.398     49.409     0.049
49.398     0.011    49.409     49.420     0.022
49.487     0.000    49.487     49.516     0.030
49.547     0.000    49.548     49.558     0.011
49.548     0.010    49.558     49.567     0.019
49.571     0.006    49.577     49.605     0.034
49.577     0.073    49.650     49.659     0.082
49.650     0.016    49.666     49.667     0.017
49.666     0.001    49.667     49.674     0.007
49.685     0.000    49.685     49.695     0.010
49.703     0.005    49.708     49.726     0.023
49.708     0.018    49.726     49.736     0.028
49.756     0.000    49.756     49.774     0.018
49.781     0.003    49.784     49.787     0.006
49.782     0.029    49.811     49.815     0.033
49.784     0.031    49.815     49.835     0.051
49.811     0.024    49.835     49.842     0.031
49.848     0.022    49.870     49.875     0.027
49.870     0.005    49.876     49.884     0.014
49.876     0.034    49.910     49.910     0.035
49.910     0.037    49.947     49.949     0.039
49.911     0.078    49.989     50.007     0.096
49.924     0.083    50.007     50.008     0.084
49.989     0.025    50.013     50.037     0.048
50.013     0.024    50.037     50.041     0.027
50.065     0.040    50.105     50.114     0.049
50.105     0.023    50.128     50.143     0.038
50.128     0.015    50.143     50.157     0.029
50.143     0.019    50.162     50.174     0.030
50.162     0.012    50.174     50.192     0.030
50.193     0.000    50.193     50.211     0.018
50.223     0.015    50.239     50.250     0.027
50.237     0.013    50.250     50.256     0.019
50.238     0.022    50.260     50.263     0.025
50.260     0.016    50.276     50.280     0.020
50.268     0.025    50.292     50.294     0.026
50.276     0.052    50.328     50.339     0.062
50.292     0.046    50.339     50.354     0.062
50.297     0.078    50.375     50.388     0.091
50.375     0.013    50.388     50.437     0.062
50.443     0.030    50.474     50.500     0.057
50.474     0.066    50.540     50.547     0.073
50.516     0.043    50.560     50.568     0.051
50.522     0.078    50.601     50.601     0.079
50.548     0.055    50.603     50.603     0.055
50.575     0.035    50.609     50.609     0.035
50.603     0.007    50.610     50.630     0.027
50.609     0.021    50.630     50.645     0.036
50.610     0.037    50.647     50.656     0.046
50.647     0.009    50.656     50.663     0.016
50.739     0.039    50.779     50.785     0.045
50.779     0.006    50.785     50.786     0.007
50.785     0.001    50.786     50.803     0.018
50.814     0.009    50.824     50.844     0.030
50.824     0.087    50.910     50.916     0.092
50.882     0.034    50.916     50.916     0.034
50.910     0.010    50.921     50.943     0.033
50.921     0.097    51.017     51.026     0.106
50.981     0.046    51.026     51.029     0.048
50.994     0.038    51.033     51.039     0.045
51.033     0.007    51.039     51.040     0.007
51.064     0.000    51.064     51.081     0.017
51.085     0.000    51.085     51.087     0.002
51.087     0.000    51.087     51.092     0.005
51.156     0.012    51.168     51.180     0.024
51.168     0.012    51.180     51.191     0.023
