~~~~~~~STARTING~~~~~~~~
Lambda = 50.00, Ts = 0.015, SimTime = 100.00

wAvg = 3, qAvg = 3
Arrival      Tw      Start       End        Tq
48.977     0.029    49.006     49.019     0.042
48.981     0.038    49.019     49.022     0.041
48.981     0.041    49.023     49.033     0.051
49.019     0.013    49.033     49.039     0.020
49.023     0.020    49.043     49.046     0.023
49.043     0.003    49.046     49.065     0.022
49.093     0.000    49.093     49.108     0.016
49.136     0.006    49.141     49.147     0.011
49.139     0.009    49.148     49.158     0.018
49.141     0.016    49.158     49.173     0.032
49.148     0.025    49.173     49.177     0.029
49.173     0.015    49.188     49.189     0.015
49.178     0.013    49.191     49.198     0.020
49.188     0.022    49.211     49.225     0.037
49.191     0.052    49.243     49.246     0.055
49.211     0.063    49.274     49.294     0.083
49.232     0.062    49.294     49.294     0.063
49.273     0.025    49.299     49.300     0.027
49.299     0.008    49.307     49.310     0.011
49.307     0.021    49.327     49.334     0.028
49.313     0.021    49.334     49.348     0.035
49.314     0.034    49.348     49.355     0.041
49.363     0.005    49.368     49.388     0.025
49.368     0.020    49.388     49.390     0.022
49.400     0.008    49.408     49.408     0.008
49.408     0.000    49.408     49.417     0.009
49.425     0.014    49.438     49.462     0.037
49.429     0.033    49.462     49.464     0.035
49.438     0.029    49.468     49.474     0.036
49.468     0.006    49.474     49.474     0.006
49.483     0.000    49.483     49.489     0.006
49.483     0.005    49.489     49.495     0.011
49.497     0.006    49.503     49.516     0.019
49.503     0.029    49.533     49.549     0.046
49.527     0.034    49.561     49.569     0.042
49.533     0.037    49.569     49.594     0.062
49.558     0.037    49.595     49.597     0.039
49.595     0.002    49.597     49.610     0.015
49.619     0.000    49.619     49.622     0.002
49.626     0.000    49.626     49.639     0.013
49.652     0.000    49.653     49.654     0.001
49.653     0.001    49.654     49.661     0.009
49.695     0.009    49.704     49.708     0.014
49.704     0.006    49.709     49.720     0.016
49.709     0.029    49.738     49.750     0.041
49.725     0.060    49.785     49.794     0.069
49.727     0.067    49.794     49.799     0.073
