~~~~~~~~~~~~~~~~~~~~~STARTING~~~~~~~~~~~~~~~~~~~~
Lambda = 65.00, Ts = 0.015, SimTime = 100.00

wAvg = 2, qAvg = 2
Arrival      Tw      Start       End        Tq
48.980     0.022    49.003     49.005     0.025
49.001     0.018    49.019     49.020     0.019
49.003     0.017    49.020     49.035     0.032
49.012     0.023    49.035     49.050     0.038
49.054     0.000    49.054     49.069     0.015
49.069     0.014    49.083     49.084     0.015
49.081     0.003    49.084     49.099     0.018
49.083     0.016    49.099     49.114     0.031
49.144     0.000    49.144     49.159     0.015
49.188     0.000    49.188     49.203     0.015
49.217     0.000    49.217     49.232     0.015
49.242     0.002    49.244     49.257     0.015
49.244     0.028    49.272     49.272     0.028
49.272     0.001    49.272     49.287     0.016
49.299     0.000    49.299     49.314     0.015
49.362     0.000    49.363     49.377     0.015
49.363     0.015    49.377     49.392     0.030
49.408     0.000    49.408     49.423     0.015
49.425     0.000    49.425     49.440     0.015
49.468     0.009    49.477     49.483     0.015
49.469     0.026    49.495     49.498     0.029
49.477     0.021    49.498     49.513     0.036
49.493     0.023    49.516     49.528     0.035
49.516     0.019    49.535     49.543     0.027
49.528     0.030    49.558     49.558     0.030
49.535     0.024    49.558     49.573     0.039
49.547     0.033    49.580     49.588     0.042
49.573     0.024    49.598     49.603     0.030
49.580     0.031    49.611     49.618     0.039
49.592     0.034    49.626     49.633     0.041
49.607     0.038    49.644     49.648     0.042
49.626     0.031    49.657     49.663     0.037
49.637     0.033    49.671     49.678     0.041
49.657     0.032    49.688     49.693     0.036
49.671     0.026    49.696     49.708     0.038
49.680     0.028    49.708     49.723     0.043
49.696     0.029    49.725     49.738     0.042
49.725     0.020    49.745     49.753     0.028
49.742     0.012    49.753     49.768     0.027
49.743     0.039    49.782     49.783     0.040
49.782     0.001    49.783     49.798     0.016
49.814     0.004    49.818     49.829     0.015
49.815     0.021    49.836     49.844     0.029
49.818     0.040    49.858     49.859     0.041
49.833     0.026    49.859     49.874     0.041
49.858     0.016    49.874     49.889     0.031
49.889     0.009    49.899     49.904     0.015
49.893     0.012    49.904     49.919     0.027
49.899     0.035    49.934     49.934     0.036
49.920     0.020    49.940     49.949     0.029
49.925     0.029    49.954     49.964     0.039
49.940     0.030    49.970     49.979     0.040
49.954     0.033    49.987     49.994     0.040
49.970     0.024    49.994     50.009     0.039
49.982     0.041    50.022     50.024     0.042
50.014     0.010    50.024     50.039     0.025
50.022     0.030    50.053     50.054     0.032
50.053     0.002    50.054     50.069     0.017
50.072     0.005    50.076     50.087     0.015
50.072     0.024    50.097     50.102     0.029
50.076     0.025    50.102     50.117     0.040
50.097     0.020    50.117     50.132     0.035
50.183     0.000    50.183     50.198     0.015
50.199     0.011    50.210     50.214     0.015
50.210     0.014    50.223     50.229     0.019
