~~~~~~~~~~~~~~~~~~~~~STARTING~~~~~~~~~~~~~~~~~~~~
Lambda = 50.00, Ts = 0.015, SimTime = 100.00

wAvg = 0, qAvg = 0
Arrival      Tw      Start       End        Tq
52.084     0.011    52.096     52.099     0.015
52.096     0.004    52.099     52.114     0.019
52.142     0.008    52.150     52.157     0.015
52.150     0.017    52.167     52.172     0.022
52.166     0.020    52.187     52.187     0.020
52.167     0.020    52.188     52.202     0.034
52.187     0.017    52.203     52.217     0.030
52.188     0.039    52.226     52.232     0.044
52.203     0.033    52.236     52.247     0.044
52.226     0.032    52.258     52.262     0.035
52.236     0.026    52.262     52.277     0.041
52.250     0.036    52.285     52.292     0.042
52.285     0.022    52.307     52.307     0.022
52.304     0.007    52.311     52.322     0.018
52.307     0.015    52.322     52.337     0.030
52.311     0.026    52.337     52.352     0.041
52.377     0.015    52.392     52.392     0.015
52.392     0.000    52.392     52.407     0.015
52.443     0.014    52.457     52.458     0.015
52.457     0.001    52.458     52.473     0.016
52.496     0.000    52.496     52.511     0.015
52.520     0.015    52.535     52.535     0.015
52.521     0.014    52.535     52.550     0.029
52.530     0.032    52.562     52.565     0.035
52.559     0.020    52.579     52.580     0.021
52.560     0.020    52.580     52.595     0.035
52.568     0.034    52.602     52.610     0.042
52.595     0.015    52.610     52.625     0.030
52.602     0.023    52.625     52.640     0.038
52.653     0.014    52.667     52.668     0.015
52.654     0.029    52.683     52.683     0.029
52.667     0.016    52.683     52.698     0.031
52.673     0.025    52.698     52.713     0.040
52.729     0.004    52.733     52.744     0.015
52.733     0.011    52.744     52.759     0.026
52.773     0.014    52.787     52.788     0.015
52.776     0.027    52.803     52.803     0.027
52.787     0.016    52.803     52.818     0.031
52.803     0.015    52.818     52.833     0.030
52.841     0.000    52.841     52.856     0.015
52.937     0.014    52.950     52.952     0.015
52.940     0.016    52.956     52.967     0.027
52.941     0.027    52.968     52.982     0.041
52.956     0.025    52.982     52.997     0.040
52.968     0.038    53.006     53.012     0.043
53.002     0.020    53.022     53.027     0.025
53.006     0.031    53.037     53.042     0.036
53.022     0.020    53.042     53.057     0.034
53.027     0.029    53.057     53.072     0.044
53.042     0.040    53.082     53.087     0.044
53.082     0.004    53.087     53.102     0.019
53.104     0.013    53.117     53.119     0.015
53.117     0.009    53.126     53.134     0.017
53.121     0.025    53.146     53.149     0.028
53.122     0.027    53.149     53.164     0.042
53.146     0.018    53.164     53.179     0.033
53.208     0.011    53.219     53.223     0.015
53.211     0.020    53.231     53.238     0.028
53.213     0.025    53.238     53.253     0.040
53.231     0.036    53.267     53.268     0.037
53.267     0.001    53.268     53.283     0.016
53.307     0.000    53.307     53.322     0.015
53.322     0.000    53.322     53.337     0.015
53.338     0.014    53.352     53.353     0.015
53.352     0.001    53.353     53.368     0.016
53.371     0.015    53.385     53.386     0.015
53.385     0.000    53.386     53.401     0.015
53.417     0.001    53.417     53.432     0.015
53.417     0.021    53.438     53.447     0.029
53.438     0.011    53.449     53.462     0.024
53.449     0.016    53.465     53.477     0.028
53.465     0.025    53.490     53.492     0.027
53.480     0.020    53.500     53.507     0.027
53.481     0.035    53.516     53.522     0.041
53.500     0.030    53.530     53.537     0.037
53.516     0.021    53.537     53.552     0.036
53.530     0.031    53.562     53.567     0.036
53.562     0.010    53.572     53.582     0.020
53.572     0.020    53.592     53.597     0.025
53.587     0.009    53.597     53.612     0.024
53.592     0.020    53.612     53.627     0.035
53.683     0.014    53.698     53.698     0.015
53.698     0.001    53.698     53.713     0.016
53.728     0.000    53.728     53.743     0.015
53.753     0.002    53.754     53.768     0.015
53.754     0.015    53.770     53.783     0.028
53.770     0.022    53.792     53.798     0.028
53.792     0.006    53.798     53.813     0.021
53.813     0.000    53.813     53.828     0.015
53.890     0.000    53.890     53.905     0.015
53.928     0.000    53.928     53.943     0.015
53.983     0.006    53.989     53.998     0.015
53.989     0.009    53.998     54.013     0.024
54.015     0.000    54.015     54.030     0.015
54.057     0.000    54.057     54.072     0.015
54.073     0.000    54.073     54.088     0.015
54.109     0.000    54.109     54.124     0.015
54.128     0.000    54.128     54.143     0.015
54.188     0.007    54.195     54.203     0.015
54.195     0.010    54.205     54.218     0.023
54.205     0.015    54.220     54.233     0.028
54.220     0.026    54.247     54.248     0.028
54.245     0.003    54.248     54.263     0.018
54.247     0.016    54.263     54.278     0.031
54.248     0.029    54.278     54.293     0.044
54.312     0.011    54.322     54.327     0.015
54.312     0.022    54.334     54.342     0.030
54.322     0.019    54.342     54.357     0.034
54.334     0.022    54.357     54.372     0.037
54.375     0.000    54.375     54.390     0.015
54.447     0.000    54.447     54.462     0.015
54.488     0.000    54.488     54.503     0.015
54.505     0.000    54.505     54.520     0.015
54.539     0.002    54.541     54.554     0.015
54.541     0.013    54.554     54.569     0.028
54.605     0.004    54.609     54.620     0.015
54.609     0.011    54.620     54.635     0.026
54.648     0.013    54.661     54.663     0.015
54.661     0.002    54.663     54.678     0.017
54.690     0.009    54.699     54.705     0.015
54.699     0.020    54.719     54.720     0.021
54.719     0.012    54.732     54.735     0.015
54.732     0.009    54.741     54.750     0.018
54.737     0.013    54.750     54.765     0.028
54.741     0.039    54.780     54.780     0.039
54.780     0.000    54.780     54.795     0.015
54.799     0.000    54.799     54.814     0.015
54.831     0.000    54.831     54.846     0.015
54.890     0.000    54.890     54.905     0.015
54.949     0.000    54.949     54.964     0.015
54.968     0.009    54.978     54.983     0.015
54.978     0.006    54.983     54.998     0.021
55.018     0.015    55.032     55.033     0.015
55.020     0.013    55.033     55.048     0.028
55.032     0.015    55.048     55.063     0.030
55.086     0.014    55.100     55.101     0.015
55.091     0.011    55.101     55.116     0.026
55.093     0.039    55.131     55.131     0.039
55.119     0.026    55.144     55.146     0.028
55.131     0.024    55.155     55.161     0.030
55.131     0.035    55.167     55.176     0.045
55.155     0.028    55.184     55.191     0.036
55.164     0.028    55.191     55.206     0.043
55.179     0.027    55.206     55.221     0.042
55.222     0.000    55.222     55.237     0.015
55.238     0.013    55.251     55.253     0.015
55.241     0.013    55.253     55.268     0.028
55.251     0.028    55.279     55.283     0.032
55.268     0.015    55.283     55.298     0.030
55.279     0.019    55.298     55.313     0.034
55.333     0.005    55.338     55.348     0.015
55.338     0.010    55.348     55.363     0.025
55.375     0.000    55.375     55.390     0.015
55.408     0.010    55.418     55.423     0.015
55.408     0.020    55.428     55.438     0.029
55.418     0.020    55.438     55.453     0.035
55.428     0.037    55.465     55.468     0.039
55.456     0.012    55.468     55.483     0.027
55.465     0.027    55.492     55.498     0.033
55.492     0.006    55.498     55.513     0.021
55.542     0.000    55.542     55.557     0.015
55.569     0.000    55.569     55.584     0.015
55.602     0.009    55.611     55.617     0.015
55.611     0.006    55.617     55.632     0.021
55.635     0.000    55.635     55.650     0.015
55.660     0.000    55.660     55.675     0.015
55.697     0.012    55.709     55.712     0.015
55.706     0.019    55.725     55.727     0.021
55.709     0.033    55.742     55.742     0.033
55.718     0.024    55.742     55.757     0.039
55.729     0.037    55.767     55.772     0.043
55.767     0.006    55.772     55.787     0.021
55.789     0.010    55.799     55.804     0.015
55.794     0.010    55.804     55.819     0.025
55.799     0.020    55.819     55.834     0.035
55.850     0.000    55.850     55.865     0.015
55.904     0.000    55.904     55.919     0.015
55.921     0.005    55.926     55.936     0.015
55.923     0.013    55.936     55.951     0.028
55.926     0.035    55.961     55.966     0.040
55.961     0.008    55.968     55.981     0.020
55.968     0.013    55.981     55.996     0.028
56.005     0.000    56.005     56.020     0.015
56.040     0.000    56.040     56.055     0.015
56.060     0.000    56.060     56.075     0.015
56.081     0.000    56.081     56.096     0.015
56.097     0.014    56.112     56.112     0.015
56.101     0.012    56.112     56.127     0.027
56.112     0.016    56.127     56.142     0.031
56.165     0.013    56.178     56.180     0.015
56.168     0.011    56.180     56.195     0.026
56.178     0.017    56.195     56.210     0.032
56.217     0.009    56.226     56.232     0.015
56.219     0.018    56.237     56.247     0.028
56.224     0.034    56.258     56.262     0.037
56.237     0.025    56.262     56.277     0.040
56.258     0.019    56.277     56.292     0.034
56.293     0.000    56.293     56.308     0.015
56.309     0.014    56.323     56.324     0.015
56.323     0.003    56.326     56.339     0.016
56.326     0.013    56.339     56.354     0.028
56.359     0.000    56.359     56.374     0.015
56.391     0.000    56.391     56.406     0.015
56.410     0.010    56.421     56.425     0.015
56.416     0.013    56.430     56.440     0.024
56.421     0.020    56.440     56.455     0.035
56.427     0.040    56.466     56.470     0.044
56.466     0.008    56.474     56.485     0.020
56.466     0.019    56.485     56.500     0.034
56.473     0.027    56.500     56.515     0.042
56.526     0.000    56.526     56.541     0.015
56.546     0.000    56.546     56.561     0.015
56.566     0.000    56.566     56.581     0.015
56.584     0.003    56.587     56.599     0.015
56.587     0.021    56.609     56.614     0.027
56.600     0.014    56.614     56.629     0.029
56.603     0.035    56.638     56.644     0.042
56.638     0.020    56.658     56.659     0.022
56.658     0.002    56.659     56.674     0.017
56.686     0.000    56.686     56.701     0.015
